path,category,keep_public,reason,contains_stale_claim,contains_internal_process_text,contains_private_or_machine_specific_info,action
.gitignore,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",false,false,false,REWRITE
AGENTS.md,PRIVATE_INTERNAL,false,Preserved in the ignored local archive; not required for the public reproducibility chain.,false,true,false,REMOVE_FROM_PUBLIC
CITATION.cff,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",true,false,false,REWRITE
LICENSE,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",false,false,false,KEEP
PROMPT.md,PRIVATE_INTERNAL,false,Preserved in the ignored local archive; not required for the public reproducibility chain.,false,true,false,REMOVE_FROM_PUBLIC
README.md,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",true,false,false,REWRITE
README.zh-CN.md,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",true,false,false,REWRITE
RELEASE_NOTES.md,PRIVATE_INTERNAL,false,Preserved in the ignored local archive; not required for the public reproducibility chain.,true,true,false,REMOVE_FROM_PUBLIC
configs/experiment.example.yaml,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",false,false,false,KEEP
configs/experiments/calib_qwen3_0.6b_lora_100step_r0.yaml,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",false,false,false,KEEP
configs/experiments/calib_qwen3_0.6b_lora_100step_r1.yaml,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",false,false,false,KEEP
configs/experiments/calib_qwen3_0.6b_lora_100step_r2.yaml,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",false,false,false,KEEP
configs/experiments/calib_qwen3_1.7b_lora_100step_r0.yaml,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",false,false,false,KEEP
configs/experiments/calib_qwen3_1.7b_lora_100step_r1.yaml,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",false,false,false,KEEP
configs/experiments/calib_qwen3_1.7b_lora_100step_r2.yaml,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",false,false,false,KEEP
configs/experiments/exp0_qwen3_0.6b_lora.yaml,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",false,false,false,KEEP
configs/experiments/formal/axis1_0.6b-4bit_qlora_ctx512_r8_b1_steps100_s123.yaml,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",false,false,false,KEEP
configs/experiments/formal/axis1_0.6b-4bit_qlora_ctx512_r8_b1_steps100_s2026.yaml,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",false,false,false,KEEP
configs/experiments/formal/axis1_0.6b-4bit_qlora_ctx512_r8_b1_steps100_s42.yaml,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",false,false,false,KEEP
configs/experiments/formal/axis1_0.6b-bf16_full_ctx512_r8_b1_steps100_s123.yaml,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",false,false,false,KEEP
configs/experiments/formal/axis1_0.6b-bf16_full_ctx512_r8_b1_steps100_s2026.yaml,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",false,false,false,KEEP
configs/experiments/formal/axis1_0.6b-bf16_full_ctx512_r8_b1_steps100_s42.yaml,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",false,false,false,KEEP
configs/experiments/formal/axis1_0.6b-bf16_lora_ctx512_r8_b1_steps100_s123.yaml,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",false,false,false,KEEP
configs/experiments/formal/axis1_0.6b-bf16_lora_ctx512_r8_b1_steps100_s2026.yaml,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",false,false,false,KEEP
configs/experiments/formal/axis1_0.6b-bf16_lora_ctx512_r8_b1_steps100_s42.yaml,PUBLIC_CORE,true,"Allowlisted code, configuration, data, raw evidence, generated result, or project metadata.",false,false,false,KEEP
